sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Asignatura1,Asignatura2,Asignatura3,Asignatura4,Asignatura5,Asignatura6,Asignatura7,Asignatura8,Asignatura9,Asignatura10,Asignatura11,Asignatura12
M,18,R,GT3,T,4,4,at_home,services,other,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,5,5,1,1,1,5,"[20, 12, 18, 20, 13, 20, 7, 20, 20, 1]","[14, 5, 20, 20, 2, 2, 6, 8, 8, 20]","[20, 20, 20, 20, 1, 20, 11, 5, 15, 20]","[20, 2, 20, 3, 20, 18, 9, 20, 14, 20]","[20, 6, 20, 20, 14, 20, 20, 17, 20, 4]","[18, 20, 16, 8, 20, 20, 9, 12, 12, 19]","[3, 7, 14, 17, 14, 20, 20, 8, 20, 19]","[17, 4, 20, 16, 20, 20, 0, 9, 20, 2]","[0, 20, 5, 20, 0, 20, 20, 20, 18, 20]","[7, 20, 20, 20, 20, 9, 13, 19, 3, 20]","[20, 9, 14, 20, 8, 2, 0, 0, 20, 20]","[2, 20, 20, 20, 9, 2, 18, 3, 20, 20]"
M,17,R,GT3,T,1,1,other,services,other,father,3,1,0,no,no,no,no,no,no,no,no,4,2,3,3,4,4,4,"[6, 20, 20, 20, 3, 20, 20, 20, 20, 20]","[0, 20, 18, 15, 18, 20, 17, 10, 20, 20]","[3, 20, 20, 20, 17, 8, 10, 4, 18, 16]","[20, 20, 7, 20, 7, 17, 5, 20, 4, 18]","[2, 20, 20, 4, 20, 20, 16, 20, 18, 18]","[17, 6, 20, 1, 20, 6, 13, 1, 5, 18]","[19, 11, 6, 4, 16, 7, 6, 13, 15, 19]","[11, 20, 20, 18, 12, 20, 20, 15, 20, 10]","[15, 20, 3, 20, 1, 20, 4, 20, 20, 8]","[0, 1, 0, 13, 19, 20, 20, 10, 2, 20]","[20, 18, 18, 6, 20, 20, 0, 20, 20, 13]","[20, 20, 7, 20, 4, 12, 7, 20, 11, 20]"
F,18,U,GT3,T,2,2,other,other,course,mother,2,2,0,no,yes,no,no,no,yes,yes,yes,1,3,1,1,1,2,4,"[9, 0, 16, 20, 14, 6, 15, 0, 13, 4]","[7, 20, 8, 4, 11, 16, 6, 5, 14, 16]","[7, 3, 2, 7, 3, 10, 5, 16, 0, 14]","[4, 16, 2, 12, 0, 14, 17, 5, 20, 19]","[14, 7, 1, 2, 1, 9, 1, 10, 20, 14]","[15, 19, 20, 17, 3, 10, 2, 10, 20, 18]","[10, 18, 11, 19, 7, 7, 4, 12, 1, 16]","[20, 14, 19, 18, 1, 17, 14, 9, 11, 7]","[5, 16, 17, 14, 4, 15, 1, 12, 8, 9]","[8, 5, 14, 2, 13, 16, 3, 9, 11, 1]","[13, 6, 2, 14, 16, 15, 9, 10, 1, 6]","[14, 8, 13, 17, 6, 17, 1, 10, 8, 3]"
F,18,U,LE3,T,2,2,services,services,course,father,2,3,0,no,no,no,no,yes,yes,yes,yes,5,4,5,1,4,3,0,"[20, 16, 11, 16, 20, 4, 8, 4, 20, 11]","[5, 3, 20, 15, 13, 16, 20, 2, 10, 6]","[20, 16, 14, 8, 15, 9, 20, 5, 11, 8]","[20, 20, 13, 20, 3, 20, 20, 20, 20, 5]","[20, 9, 1, 18, 14, 13, 13, 20, 1, 11]","[20, 20, 20, 10, 0, 19, 20, 17, 20, 20]","[2, 2, 16, 5, 12, 12, 20, 0, 20, 14]","[20, 15, 3, 19, 19, 20, 20, 20, 14, 0]","[5, 2, 0, 7, 20, 15, 20, 20, 20, 1]","[15, 1, 16, 5, 12, 3, 20, 7, 12, 20]","[19, 3, 11, 18, 15, 20, 20, 1, 2, 15]","[19, 20, 20, 0, 15, 20, 12, 14, 10, 19]"
F,18,R,LE3,A,4,2,teacher,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,1,1,1,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
F,18,U,GT3,T,1,1,at_home,services,course,mother,3,2,1,no,no,no,no,yes,no,no,no,4,4,2,1,2,2,2,"[2, 14, 13, 16, 3, 2, 8, 13, 13, 17]","[14, 15, 9, 10, 4, 19, 19, 4, 5, 12]","[6, 7, 20, 0, 10, 15, 11, 10, 5, 11]","[13, 5, 9, 13, 15, 6, 4, 10, 20, 1]","[9, 19, 4, 3, 16, 10, 5, 2, 15, 11]","[9, 8, 10, 20, 5, 14, 9, 1, 16, 4]","[15, 6, 15, 20, 16, 20, 2, 0, 4, 0]","[6, 1, 8, 14, 1, 18, 9, 2, 20, 13]","[2, 3, 20, 8, 5, 14, 18, 15, 17, 7]","[7, 3, 4, 9, 14, 19, 3, 2, 8, 11]","[13, 15, 11, 10, 19, 8, 19, 3, 20, 3]","[15, 5, 15, 12, 14, 6, 8, 12, 19, 1]"
F,19,U,GT3,T,1,1,at_home,services,other,father,2,1,1,no,no,no,no,yes,no,no,no,5,5,5,2,3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
F,17,U,GT3,T,4,2,teacher,other,course,father,2,4,0,no,no,no,no,yes,yes,yes,yes,4,2,3,3,1,5,0,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[3, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 18, 9, 12, 20, 20, 20, 20, 8]","[20, 20, 20, 20, 20, 20, 2, 20, 20, 0]","[15, 16, 20, 17, 20, 17, 18, 20, 20, 20]","[20, 20, 15, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 8, 20, 20, 3, 20, 11]","[20, 12, 20, 20, 0, 20, 20, 17, 20, 20]","[11, 20, 20, 20, 20, 20, 20, 11, 20, 16]","[20, 3, 20, 15, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 15, 20, 20, 8, 20, 20, 20, 20, 20]"
F,17,R,LE3,A,2,1,services,other,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,2,5,"[12, 1, 15, 18, 11, 13, 10, 20, 19, 0]","[20, 12, 3, 20, 10, 18, 6, 6, 14, 13]","[8, 9, 2, 20, 19, 20, 4, 9, 6, 7]","[14, 20, 18, 18, 17, 2, 6, 5, 20, 5]","[10, 20, 13, 20, 12, 17, 7, 9, 12, 20]","[8, 14, 20, 20, 11, 17, 20, 19, 16, 14]","[20, 20, 11, 15, 17, 16, 0, 20, 16, 6]","[17, 7, 3, 0, 4, 2, 10, 11, 19, 4]","[3, 0, 20, 20, 10, 16, 9, 17, 14, 0]","[20, 13, 0, 11, 20, 20, 10, 4, 8, 20]","[20, 4, 20, 20, 6, 20, 20, 4, 8, 11]","[14, 9, 1, 4, 6, 16, 2, 15, 1, 17]"
F,18,U,LE3,A,1,1,at_home,services,course,mother,1,2,0,no,no,no,no,yes,yes,no,yes,5,2,3,1,2,3,2,"[1, 5, 1, 0, 4, 14, 2, 18, 20, 20]","[7, 12, 7, 16, 16, 19, 8, 14, 10, 20]","[18, 13, 2, 8, 8, 11, 2, 8, 12, 1]","[12, 9, 20, 8, 15, 1, 15, 17, 20, 14]","[15, 5, 5, 3, 4, 11, 4, 15, 9, 13]","[7, 13, 17, 10, 16, 15, 16, 7, 17, 12]","[13, 11, 9, 20, 20, 9, 4, 16, 10, 1]","[3, 20, 4, 14, 15, 19, 13, 14, 16, 4]","[4, 8, 19, 0, 10, 5, 17, 5, 11, 17]","[15, 1, 19, 7, 5, 3, 1, 20, 16, 14]","[15, 20, 11, 17, 13, 7, 13, 6, 10, 20]","[12, 3, 13, 16, 17, 5, 13, 0, 17, 18]"
F,18,U,GT3,T,1,2,at_home,at_home,course,father,2,2,0,no,yes,no,no,yes,no,no,no,4,1,1,1,1,4,0,"[20, 0, 12, 12, 17, 15, 18, 1, 20, 8]","[3, 11, 20, 20, 4, 13, 15, 2, 20, 0]","[16, 20, 18, 2, 0, 19, 13, 20, 13, 3]","[11, 17, 4, 10, 13, 15, 1, 14, 8, 5]","[13, 17, 0, 20, 18, 16, 7, 5, 10, 13]","[18, 9, 16, 20, 7, 5, 2, 0, 7, 0]","[20, 14, 18, 3, 20, 19, 18, 9, 9, 10]","[2, 20, 5, 14, 20, 20, 20, 20, 20, 20]","[4, 0, 20, 10, 20, 11, 8, 20, 1, 20]","[1, 8, 2, 20, 20, 20, 20, 18, 20, 7]","[18, 14, 20, 20, 13, 11, 20, 17, 6, 18]","[1, 1, 12, 18, 2, 0, 7, 10, 14, 11]"
F,19,R,GT3,A,1,1,at_home,at_home,course,other,2,2,3,no,yes,no,yes,yes,no,no,yes,3,5,4,1,4,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
F,18,R,GT3,T,2,2,services,other,home,mother,2,3,0,no,no,no,no,yes,yes,yes,yes,4,2,1,1,1,4,5,"[20, 20, 20, 1, 20, 6, 9, 8, 20, 8]","[8, 20, 20, 5, 5, 15, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 11, 20, 20, 20, 20]","[20, 20, 8, 14, 10, 19, 2, 3, 5, 14]","[20, 20, 20, 17, 19, 7, 20, 19, 20, 20]","[20, 6, 12, 20, 15, 15, 10, 11, 20, 20]","[3, 1, 14, 20, 20, 1, 20, 0, 2, 20]","[18, 20, 2, 11, 20, 16, 20, 3, 15, 11]","[20, 20, 20, 20, 4, 20, 18, 12, 4, 18]","[14, 18, 20, 9, 20, 20, 10, 6, 13, 20]","[14, 1, 20, 6, 20, 20, 20, 12, 16, 20]","[20, 6, 20, 20, 20, 20, 20, 20, 20, 20]"
M,17,R,GT3,T,4,3,services,other,home,mother,2,2,1,no,yes,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,4,"[9, 3, 14, 20, 20, 7, 1, 16, 2, 19]","[12, 1, 14, 13, 17, 13, 6, 11, 5, 12]","[1, 12, 4, 4, 0, 8, 8, 1, 6, 20]","[5, 3, 14, 19, 5, 18, 3, 7, 4, 8]","[13, 18, 17, 20, 12, 9, 3, 19, 20, 3]","[15, 16, 2, 16, 15, 3, 6, 14, 1, 8]","[1, 12, 1, 13, 17, 20, 4, 9, 14, 20]","[14, 6, 10, 20, 20, 17, 11, 20, 6, 0]","[19, 8, 10, 16, 13, 13, 5, 17, 2, 3]","[4, 20, 18, 20, 20, 18, 12, 19, 20, 20]","[9, 18, 11, 20, 4, 20, 11, 0, 1, 5]","[5, 14, 3, 5, 19, 20, 12, 20, 11, 5]"
F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,4,1,1,5,0,"[6, 17, 3, 16, 5, 9, 16, 19, 7, 7]","[16, 2, 2, 14, 1, 11, 3, 0, 20, 8]","[5, 3, 14, 19, 10, 16, 9, 19, 0, 9]","[11, 2, 11, 4, 14, 7, 17, 16, 9, 16]","[16, 19, 19, 19, 1, 16, 5, 6, 0, 6]","[8, 5, 2, 12, 12, 6, 17, 13, 1, 20]","[16, 8, 10, 7, 10, 14, 6, 20, 20, 17]","[7, 0, 5, 1, 9, 20, 13, 0, 20, 0]","[10, 15, 19, 12, 0, 13, 0, 13, 17, 12]","[10, 3, 19, 4, 14, 0, 6, 10, 12, 17]","[1, 7, 10, 19, 0, 15, 18, 19, 10, 13]","[0, 0, 20, 0, 20, 11, 7, 1, 20, 4]"
F,17,R,GT3,T,4,4,teacher,services,other,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,2,5,2,"[10, 20, 12, 16, 4, 4, 8, 20, 14, 3]","[8, 7, 10, 2, 0, 15, 20, 20, 11, 12]","[14, 16, 15, 20, 1, 20, 8, 17, 20, 12]","[8, 20, 20, 11, 5, 20, 8, 19, 3, 14]","[12, 16, 4, 13, 3, 5, 14, 17, 10, 5]","[20, 9, 14, 15, 16, 18, 20, 13, 4, 1]","[20, 1, 20, 3, 20, 0, 6, 7, 11, 5]","[10, 20, 17, 19, 10, 1, 7, 3, 18, 19]","[15, 11, 14, 20, 1, 20, 2, 14, 20, 20]","[13, 5, 13, 18, 19, 2, 14, 20, 20, 20]","[16, 2, 13, 17, 2, 1, 14, 13, 0, 6]","[10, 15, 20, 10, 20, 13, 13, 5, 20, 16]"
F,17,U,LE3,A,3,2,services,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,no,yes,1,2,3,1,2,5,0,"[20, 20, 20, 3, 20, 20, 20, 11, 20, 16]","[20, 20, 10, 20, 12, 6, 17, 20, 20, 3]","[5, 8, 20, 9, 20, 9, 20, 20, 11, 0]","[20, 20, 11, 20, 20, 12, 20, 14, 20, 4]","[16, 20, 20, 20, 9, 20, 20, 15, 4, 20]","[0, 20, 13, 6, 20, 14, 20, 20, 1, 15]","[20, 20, 20, 20, 20, 20, 11, 20, 11, 20]","[20, 20, 16, 2, 20, 20, 20, 7, 20, 20]","[20, 16, 18, 20, 8, 16, 20, 9, 7, 13]","[16, 20, 11, 4, 5, 20, 20, 20, 16, 5]","[20, 18, 20, 14, 20, 10, 20, 1, 20, 11]","[20, 13, 14, 10, 20, 9, 20, 3, 9, 3]"
M,18,U,LE3,T,1,1,other,services,home,father,2,1,0,no,no,no,no,no,yes,yes,yes,3,3,2,1,2,3,2,"[4, 13, 15, 0, 19, 13, 20, 4, 18, 13]","[9, 18, 8, 16, 16, 8, 19, 16, 5, 20]","[20, 11, 20, 20, 20, 15, 20, 20, 16, 12]","[20, 11, 12, 20, 7, 20, 20, 20, 15, 20]","[20, 18, 20, 6, 15, 20, 20, 20, 3, 20]","[20, 19, 12, 16, 20, 11, 5, 9, 12, 20]","[6, 18, 14, 20, 20, 12, 4, 19, 12, 4]","[8, 6, 10, 20, 0, 20, 20, 14, 15, 20]","[10, 0, 18, 20, 5, 20, 3, 3, 11, 15]","[0, 20, 0, 3, 17, 20, 20, 20, 7, 19]","[14, 20, 8, 6, 10, 12, 1, 2, 19, 14]","[20, 19, 20, 20, 20, 16, 20, 7, 20, 20]"
F,18,U,LE3,T,1,1,at_home,services,course,father,2,3,0,no,no,no,no,yes,yes,yes,no,5,3,2,1,1,4,0,"[20, 10, 20, 10, 13, 20, 20, 20, 20, 10]","[20, 19, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 16, 20, 20]","[20, 1, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 2, 20, 4, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 2, 18, 3, 20]","[12, 20, 20, 20, 20, 20, 20, 20, 12, 11]","[20, 20, 20, 20, 9, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 12, 20]","[18, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 18, 0, 0, 20, 20, 20, 19, 20, 1]"
F,18,R,LE3,A,1,2,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,yes,4,3,4,1,4,5,0,"[7, 20, 14, 20, 1, 16, 18, 18, 19, 20]","[18, 20, 14, 20, 16, 17, 7, 20, 20, 16]","[15, 20, 16, 20, 20, 10, 20, 10, 8, 20]","[9, 14, 13, 13, 20, 20, 13, 7, 9, 5]","[20, 4, 8, 12, 20, 9, 20, 17, 20, 5]","[20, 10, 20, 14, 8, 20, 11, 20, 17, 20]","[20, 13, 7, 20, 20, 20, 17, 15, 20, 8]","[20, 20, 13, 6, 20, 19, 20, 20, 20, 6]","[13, 20, 10, 20, 15, 20, 10, 13, 20, 20]","[7, 19, 5, 3, 5, 20, 20, 20, 20, 18]","[8, 20, 10, 20, 20, 15, 7, 20, 20, 20]","[5, 11, 3, 17, 20, 5, 20, 20, 1, 18]"
F,18,U,GT3,T,3,3,services,services,other,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,3,3,6,"[10, 0, 20, 12, 20, 20, 20, 6, 1, 16]","[20, 3, 20, 14, 4, 20, 3, 20, 13, 3]","[6, 20, 5, 9, 20, 20, 7, 13, 16, 5]","[20, 11, 20, 20, 20, 15, 5, 10, 15, 20]","[16, 18, 12, 20, 12, 1, 2, 20, 20, 20]","[5, 17, 2, 12, 12, 20, 3, 9, 20, 14]","[20, 1, 20, 10, 20, 19, 2, 15, 8, 20]","[0, 19, 4, 20, 0, 20, 9, 20, 11, 2]","[20, 20, 17, 11, 19, 20, 20, 1, 12, 0]","[19, 20, 6, 20, 17, 6, 15, 9, 20, 20]","[20, 1, 16, 2, 18, 1, 10, 18, 20, 20]","[20, 13, 13, 2, 17, 20, 5, 17, 5, 13]"
F,17,U,LE3,T,4,4,at_home,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,2,3,4,1,1,1,4,"[13, 20, 20, 20, 1, 8, 20, 15, 20, 19]","[12, 8, 20, 14, 20, 20, 20, 20, 7, 5]","[20, 16, 20, 17, 0, 20, 2, 12, 20, 20]","[14, 12, 20, 10, 20, 17, 20, 20, 2, 4]","[20, 20, 20, 20, 20, 9, 8, 3, 20, 20]","[20, 20, 18, 15, 20, 8, 20, 2, 20, 20]","[10, 13, 20, 20, 2, 14, 2, 18, 20, 20]","[20, 7, 16, 16, 3, 20, 19, 14, 20, 20]","[20, 11, 16, 2, 20, 6, 20, 8, 15, 14]","[9, 13, 20, 20, 20, 20, 20, 20, 1, 20]","[14, 18, 2, 20, 20, 8, 16, 20, 17, 20]","[10, 13, 20, 20, 8, 20, 20, 14, 0, 20]"
F,17,R,GT3,T,1,2,other,services,course,father,2,2,0,no,no,no,no,no,yes,no,no,3,2,2,1,2,3,0,"[5, 14, 16, 20, 9, 7, 3, 20, 8, 4]","[13, 17, 11, 20, 14, 15, 6, 8, 6, 3]","[20, 20, 10, 20, 7, 6, 17, 20, 20, 2]","[20, 20, 20, 1, 19, 10, 20, 20, 20, 2]","[5, 2, 1, 11, 20, 20, 20, 14, 11, 20]","[20, 20, 5, 20, 11, 4, 1, 3, 20, 20]","[5, 20, 20, 17, 12, 20, 20, 9, 20, 20]","[18, 14, 20, 20, 10, 7, 8, 20, 20, 20]","[0, 20, 19, 9, 15, 1, 3, 14, 17, 14]","[3, 18, 20, 6, 3, 18, 12, 12, 15, 9]","[3, 6, 5, 9, 19, 6, 10, 20, 20, 20]","[16, 9, 1, 16, 13, 20, 10, 20, 8, 20]"
M,18,R,GT3,T,1,3,at_home,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,2,4,3,0,"[18, 0, 9, 15, 14, 15, 1, 9, 17, 7]","[12, 3, 16, 5, 11, 5, 18, 18, 2, 16]","[13, 7, 10, 2, 8, 9, 9, 3, 8, 6]","[8, 0, 11, 5, 18, 0, 12, 15, 17, 12]","[0, 16, 5, 6, 16, 4, 15, 2, 16, 11]","[15, 1, 10, 0, 6, 11, 15, 17, 2, 4]","[3, 11, 15, 8, 12, 2, 4, 1, 14, 17]","[3, 2, 3, 1, 4, 16, 11, 0, 6, 0]","[4, 19, 10, 7, 0, 20, 0, 0, 18, 7]","[20, 6, 5, 0, 11, 16, 16, 2, 10, 20]","[7, 0, 16, 9, 16, 4, 8, 15, 9, 0]","[20, 16, 1, 19, 8, 1, 13, 13, 18, 7]"
